STATUS,KATEGORI,ID,AKAUN,NT,KADAR,TTK,KM_BAKUL_ID,DAERAH,MUKIM,KAWASAN_KOD,BIL_PEMILIK,NAMA,NO_RUM,JALAN,TEMPAT,KAWASAN,BANDAR,NEGERI,NO_RUM_POS,JALAN_POS,TEMPAT_POS,KAWASAN_POS,BANDAR_POS,NEGERI_POS,KP,NO_TEL,NO_HP,LOT_KOD,LOT_NO,RESCOM,KAT_BGN
0,41,123400000002,,120000,0.2,01/03/2022,267726,01,01,10101,1,"PEMILIK 1","NO 1","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"45600 HANG TUAH JAYA",MELAKA,"NO 1","JALAN MALIM JAYA 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,790622035550,01010000000,,PT,5555,1,KEDIAMAN
0,41,123400000016,,120000,0.2,01/03/2022,267727,01,01,10101,1,"PEMILIK 2","NO 3","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"45600 HANG TUAH JAYA",MELAKA,"NO 3","JALAN MALIM JAYA 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,790622035551,01010000000,,PT,5555,1,KEDIAMAN
0,41,123400000021,,120000,0.2,01/03/2022,267728,01,01,10101,1,"PEMILIK 3","NO 5","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"45600 HANG TUAH JAYA",MELAKA,"NO 5","JALAN MALIM JAYA 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,790622035552,01010000000,,PT,5555,1,KEDIAMAN
0,41,123400000049,,110000,0.2,01/03/2022,267729,01,01,10101,1,"PEMILIK test","NO 7","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 7","JALAN MALIM 3/2","TAMAN MALIK JAYA",,"48500 HANG TUAH JAYA",PERLIS,790622035780,-,,PT,5555,1,KEDIAMAN
0,41,123400000054,,85000,0.2,01/03/2022,267730,01,01,10101,1,"PEIMILIK 5","NO 9","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANGTUAH JAYA",MELAKA,"NO 9","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANGTUAH JAYA",MELAKA,790622035785,-,,PT,5555,1,KEDIAMAN
0,41,123400000068,,130000,0.2,01/03/2022,267731,01,01,10101,1,"PEMILIK 6","NO 11","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"45800 HANG TUAH JAYA",MELAKA,"NO 11","JALAN MALIM JAYA 3/2","TAMAN MALIM JAYA",,"48500 ",MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,123400000073,,125000,0.2,01/03/2022,267732,01,01,10101,1,"PEMILIK 7","NO 13","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"45800 HANG TUAH JAYA",MELAKA,"NO 13","JALAN MALIM JAYA 3/2","TAMAN MALIM JAYA",,"48500 ",MELAKA,790622035799,-,,PT,5555,1,KEDIAMAN
0,41,123400000087,,125000,0.2,01/03/2022,267733,01,01,10101,1,"PEMILIK 8","NO 15","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"45800 HANG TUAH JAYA",MELAKA,"NO 15","JALAN MALIM JAYA 3/2","TAMAN MALIM JAYA",,"48500 ",MELAKA,790622035777,-,,PT,5555,1,KEDIAMAN
0,41,123400000092,,150000,0.2,01/03/2022,267734,01,01,10101,1,"PEMILIK 9","NO 19","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 19","JALAN MALIK 9/3","TAMAN MALIK JAYA",,"48500 HANGTUAH JAYA",MELAKA,790622035444,-,,PT,5555,1,KEDIAMAN
0,41,123400000105,,130000,0.2,01/03/2022,267735,01,01,10101,1,"PEMILIK 10","NO 21","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 21","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,789150035548,-,,PT,5555,1,KEDIAMAN
0,41,123400000119,,135000,0.2,01/03/2022,267736,01,01,10101,1,"PEMILIK 11","NO 23","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 23","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,789150035550,-,,PT,5555,1,KEDIAMAN
0,41,355435345347,,17132000,0.2,01/03/2022,267737,02,40,14032,1,543534,54353453,543534,543534,543534,"543534 5433",MELAKA,545345,5434353,543534,543534,"54353 53454",MELAKA,54354334,534543,,PT,5555,1,KEDIAMAN
0,41,123500000009,,275000,7,01/03/2022,267738,01,01,10101,1,"SUKU SAKAT INT","NO 23","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 22","JALAN MALIM 3/2","TAMAN MALIM JAYA",,,MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,123500000015,,275000,7,01/03/2022,267739,01,01,10101,1,"SUKU SAKAT INT","NO 24","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 22","JALAN MALIM 3/2","TAMAN MALIM JAYA",,,MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,123500000028,,275000,7,01/03/2022,267740,01,01,10101,1,"SUKU SAKAT INT","NO 25","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 22","JALAN MALIM 3/2","TAMAN MALIM JAYA",,,MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,123500000036,,275000,7,01/03/2022,267741,01,01,10101,1,"SUKU SAKAT INT","NO 26","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 22","JALAN MALIM 3/2","TAMAN MALIM JAYA",,,MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,123500000047,,275000,7,01/03/2022,267742,01,01,10101,1,"SUKU SAKAT INT","NO 27","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 22","JALAN MALIM 3/2","TAMAN MALIM JAYA",,,MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,123500000057,,275000,7,01/03/2022,267743,01,01,10101,1,"SUKU SAKAT INT","NO 28","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 22","JALAN MALIM 3/2","TAMAN MALIM JAYA",,,MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,123500000066,,275000,7,01/03/2022,267744,01,01,10101,1,"SUKU SAKAT INT","NO 29","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 22","JALAN MALIM 3/2","TAMAN MALIM JAYA",,,MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,123500000078,,275000,7,01/03/2022,267745,01,01,10101,1,"SUKU SAKAT INT","NO 30","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 22","JALAN MALIM 3/2","TAMAN MALIM JAYA",,,MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,123500000085,,275000,7,01/03/2022,267746,01,01,10101,1,"SUKU SAKAT INT","NO 31","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 22","JALAN MALIM 3/2","TAMAN MALIM JAYA",,,MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,123500000099,,275000,7,01/03/2022,267747,01,01,10101,1,"SUKU SAKAT INT","NO 32","JALAN MALIM 3/2","TAMAN MALIM JAYA",,"48500 HANG TUAH JAYA",MELAKA,"NO 22","JALAN MALIM 3/2","TAMAN MALIM JAYA",,,MELAKA,790622035788,-,,PT,5555,1,KEDIAMAN
0,41,234500000008,,375000,0.2,01/03/2022,267748,01,18,11122,1,"MOHD GEBRA MAT ZAIN","NO 1","JALAN PERMAI 2/1","TAMAN PENGKALAN ",,"48500 HANGTUAH JAYA",MELAKA,"NO 1","JALAN PERMAI 2/3","TAMAN PERMAI",,"48500 HANTUAH JAYA",MELAKA,7906220357855,-,,PT,5555,1,KEDIAMAN
0,41,234500000013,,405000,0.2,01/03/2022,267749,01,18,11122,1,"MOHAMAD ZAID","NO 2","JALAN PERMAI 2/1","TAMAN PENGKALAN ",,"48500 HANGTUAH JAYA",MELAKA,"NO 2","JALAN PERMAI 2/3","TAMAN PERMAI",,"48500 HANTUAH JAYA",MELAKA,79062203578666,-,,PT,5555,1,KEDIAMAN
